SP,RP,TI,TT,UT,LMS,CML,MLR
48,48,-1,4.72E-05,-1,0,0,0
96,96,0.1,4.72E-05,0.099999997,0,0,0
144,144,0.1,4.72E-05,0.099999997,0,0,0
192,192,0.1,4.72E-05,0.099999997,0,0,0
240,240,0.009114705,4.72E-05,0.009114705,0,0,0
288,288,0.090885295,4.72E-05,0.090885292,0,0,0
336,336,0.1,4.72E-05,0.099999996,0,0,0
384,384,0.1,4.72E-05,0.099999996,0,0,0
398,398,0.008938693,3.52E-05,0.008926693,0,0,0
432,432,0.000184,4.32E-05,0.000192,0,0,0
446,446,0.000690362,3.52E-05,0.000682362,0,0,0
480,480,0.000344,4.32E-05,0.000352,0,0,0
494,494,0.000350362,3.52E-05,0.000342362,0,0,0
530,530,0.000264,4.32E-05,0.000272,0,0,0
578,578,0.089228582,4.72E-05,0.089232578,0,0,0
626,626,0.1,4.72E-05,0.099999995,0,0,0
674,674,0.1,4.72E-05,0.099999995,0,0,0
722,722,0.1,4.72E-05,0.099999995,0,0,0
770,770,0.1,4.72E-05,0.099999995,0,0,0
818,818,0.1,4.72E-05,0.099999994,0,0,0
866,866,0.1,4.71E-05,0.099999994,0,0,0
914,914,0.1,4.71E-05,0.099999994,0,0,0
962,962,0.1,4.71E-05,0.099999993,0,0,0
1010,1010,0.1,4.71E-05,0.099999993,0,0,0
1058,1058,0.1,4.71E-05,0.099999993,0,0,0
1106,1106,0.1,4.71E-05,0.099999993,0,0,0
1154,1154,0.1,4.71E-05,0.099999993,0,0,0
1202,1202,0.1,4.71E-05,0.099999992,0,0,0
1250,1250,0.1,4.71E-05,0.099999992,0,0,0
1298,1298,0.1,4.71E-05,0.099999992,0,0,0
1346,1346,0.1,4.71E-05,0.099999992,0,0,0
1394,1394,0.1,4.71E-05,0.099999991,0,0,0
1442,1442,0.1,4.71E-05,0.099999991,0,0,0
1490,1490,0.1,4.70E-05,0.099999991,0,0,0
1538,1538,0.1,4.70E-05,0.099999991,0,0,0
1586,1586,0.1,4.70E-05,0.099999991,0,0,0
1634,1634,0.1,4.70E-05,0.09999999,0,0,0
1682,1682,0.1,4.70E-05,0.09999999,0,0,0
1730,1730,0.1,4.70E-05,0.09999999,0,0,0
1778,1778,0.1,4.70E-05,0.09999999,0,0,0
1826,1826,0.1,4.70E-05,0.09999999,0,0,0
1874,1874,0.1,4.70E-05,0.09999999,0,0,0
1922,1922,0.1,4.70E-05,0.099999989,0,0,0
1970,1970,0.1,4.69E-05,0.099999989,0,0,0
2018,2018,0.1,4.69E-05,0.099999989,0,0,0
2066,2066,0.1,4.69E-05,0.099999989,0,0,0
2114,2114,0.1,4.69E-05,0.099999989,0,0,0
2162,2162,0.1,4.69E-05,0.099999989,0,0,0
2210,2210,0.1,4.69E-05,0.099999989,0,0,0
2258,2258,0.1,4.69E-05,0.099999989,0,0,0
2306,2306,0.1,4.69E-05,0.099999989,0,0,0
2354,2354,0.1,4.69E-05,0.099999989,0,0,0
2402,2402,0.1,4.68E-05,0.099999989,0,0,0
2450,2450,0.1,4.68E-05,0.099999989,0,0,0
2498,2498,0.1,4.68E-05,0.099999989,0,0,0
2546,2546,0.1,4.68E-05,0.099999989,0,0,0
2594,2594,0.1,4.68E-05,0.099999989,0,0,0
2642,2642,0.1,4.68E-05,0.099999989,0,0,0
2690,2690,0.1,4.68E-05,0.099999989,0,0,0
2738,2738,0.1,4.68E-05,0.09999999,0,0,0
2786,2786,0.1,4.68E-05,0.09999999,0,0,0
2834,2834,0.1,4.67E-05,0.09999999,0,0,0
2882,2882,0.1,4.67E-05,0.099999991,0,0,0
2930,2930,0.1,4.67E-05,0.099999991,0,0,0
2978,2978,0.1,4.67E-05,0.099999991,0,0,0
3026,3026,0.1,4.67E-05,0.099999992,0,0,0
3074,3074,0.1,4.67E-05,0.099999992,0,0,0
3122,3122,0.1,4.67E-05,0.099999993,0,0,0
3170,3170,0.1,4.67E-05,0.099999993,0,0,0
3218,3218,0.1,4.67E-05,0.099999994,0,0,0
3266,3266,0.1,4.67E-05,0.099999995,0,0,0
